Word, frequency 
, 506237 
the, 23242 
I, 19540 
and, 18297 
to, 15623 
of, 15544 
a, 12532 
my, 10824 
in, 9576 
you, 9081 
is, 7851 
that, 7531 
And, 7068 
not, 6948 
with, 6722 
his, 6218 
your, 6009 
be, 6002 
for, 5616 
have, 5236 
it, 4912 
me, 4832 
this, 4771 
he, 4546 
as, 4269 
thou, 4247 
will, 4052 
The, 3965 
thy, 3630 
but, 3561 
him, 3087 
To, 3066 
shall, 3016 
so, 2961 
are, 2917 
all, 2916 
do, 2835 
by, 2824 
her, 2822 
That, 2734 
our, 2694 
we, 2487 
on, 2440 
no, 2430 
But, 2322 
from, 2283 
at, 2216 
good, 2046 
what, 2019 
am, 1995 
would, 1974 
their, 1934 
Enter, 1926 
was, 1889 
they, 1853 
A, 1851 
if, 1826 
What, 1814 
thee, 1780 
I'll, 1737 
or, 1731 
For, 1697 
My, 1631 
If, 1630 
she, 1624 
hath, 1614 
more, 1608 
an, 1552 
You, 1518 
OF, 1490 
like, 1453 
than, 1451 
make, 1433 
you,, 1428 
As, 1390 
should, 1387 
know, 1340 
He, 1338 
upon, 1337 
which, 1337 
may, 1326 
were, 1311 
must, 1309 
them, 1307 
one, 1304 
let, 1287 
did, 1256 
such, 1224 
had, 1222 
me,, 1214 
love, 1212 
when, 1177 
O, 1167 
now, 1126 
This, 1105 
In, 1095 
How, 1092 
see, 1085 
us, 1075 
some, 1071 
come, 1062 
th', 1058 
say, 1050 
these, 1034 
man, 1016 
O,, 1005 
With, 988 
Of, 976 
can, 975 
take, 966 
most, 962 
give, 962 
then, 957 
sir,, 955 
It, 954 
here, 932 
how, 932 
KING, 931 
yet, 930 
out, 926 
there, 914 
So, 908 
Thou, 890 
lord,, 890 
go, 866 
never, 865 
much, 851 
well, 850 
Is, 849 
Exeunt, 838 
me., 823 
Which, 817 
When, 815 
tell, 813 
you., 811 
By, 809 
Let, 802 
think, 791 
doth, 789 
it., 784 
up, 782 
mine, 779 
great, 758 
very, 755 
him., 754 
Why,, 745 
'tis, 731 
Exit, 727 
art, 726 
We, 723 
too, 720 
him,, 695 
speak, 691 
made, 680 
cannot, 676 
OR, 672 
AND, 672 
time, 671 
FOR, 669 
any, 666 
BY, 663 
own, 659 
hear, 654 
King, 645 
Your, 641 
been, 639 
'Tis, 636 
Come,, 628 
Or, 628 
SCENE, 619 
FIRST, 617 
Ay,, 612 
nor, 610 
where, 605 
thee,, 594 
Then, 581 
sweet, 580 
two, 570 
fair, 569 
Who, 553 
noble, 547 
Lord, 547 
Where, 546 
into, 545 
other, 544 
old, 534 
could, 533 
His, 531 
it,, 526 
being, 526 
heart, 526 
men, 525 
Good, 514 
No,, 513 
hast, 510 
God, 510 
ever, 510 
poor, 506 
look, 500 
Nay,, 499 
many, 493 
They, 489 
comes, 487 
before, 486 
Do, 483 
not,, 481 
leave, 477 
Be, 476 
who, 476 
better, 474 
Now, 470 
Not, 470 
find, 466 
now,, 466 
SECOND, 465 
those, 458 
Shall, 457 
every, 455 
Will, 454 
There, 453 
pray, 448 
against, 448 
ARE, 446 
IS, 445 
She, 444 
Have, 444 
thee., 443 
ELECTRONIC, 442 
COPIES, 442 
